,summary,Mitigation,Hazard,Causes,Impacts,word
myanmar teil+en,7.520456161820918,-0.013124168207752007,0.004256402614323563,0.016453529187594365,-0.004677858552850523,myanmar teil+en
teil+en china+s,9.51984416469978,-0.009244528968397843,0.003359400427056883,0.013907743411741875,-0.005799228353417165,teil+en china+s
china+s thailand,10.127638429879358,-0.008293608462610593,0.0031379410304000887,0.013273906137660534,-0.006067021058421479,china+s thailand
china beb+t,5.880183023228124,-0.017677917016724536,0.005295282303247802,0.01935464682810364,-0.003297176958761551,china beb+t
beb+t freitag+morgen,5.721371361485997,-0.01822157850845285,0.0054182718107678475,0.019694490338513018,-0.003127406280893868,beb+t freitag+morgen
freitag+morgen erde,5.427887173541003,-0.019290175920338107,0.0056593600527126775,0.02035836119647447,-0.0027905671195746335,freitag+morgen erde
Derzeit,11.312803748011806,-0.006656536654502768,0.002755267457235187,0.01217407290282267,-0.006522042866532554,Derzeit
derzeit lage,5.151918160931389,-0.020380211479139584,0.005904388391248341,0.021029916956726055,-0.0024426468504023364,derzeit lage
bangkok erschütterung+en,6.807011661726137,-0.02297189861798653,0.028810377927981162,0.009763509690835436,-0.012030131267242221,bangkok erschütterung+en
spür+en beb+te,4.3414850456894705,-0.0241942367096796,0.006754601327311041,0.023334820090134593,-0.001190703018173608,spür+en beb+te
Stadtteil,7.969499785298489,-0.012129561132674741,0.004027462211501356,0.015807192798596183,-0.00496993807602192,Stadtteil
Silom,4.052762106270647,-0.025841821285160865,0.00711845526474465,0.024309014207315485,-0.0006333087525070965,Silom
stadt+teil silo+m,4.052762106270647,-0.025841821285160865,0.00711845526474465,0.024309014207315485,-0.0006333087525070965,stadt+teil silo+m
silo+m zentrum,4.02737345741423,-0.02599582186966549,0.00715236014914547,0.024399416325522928,-0.0005807025748495345,silo+m zentrum
Bangkoks…,4.005606043136399,-0.026129122670773525,0.00718169334850773,0.024477576969229742,-0.0005350978703250563,Bangkoks…
zentrum bangkoks…,4.005606043136399,-0.026129122670773525,0.00718169334850773,0.024477576969229742,-0.0005350978703250563,zentrum bangkoks…
+1346,6.303853644176897,-0.016331494380831285,0.004989726261077585,0.01850695836823519,-0.003713027337908867,+1346
bangkoks… +1346,3.9768272690265185,-0.026307185693220134,0.0072208557606617905,0.024581853428219076,-0.00047407867539366066,bangkoks… +1346
+1346 char+s,6.257760887632881,-0.01647120878512673,0.005021496469268108,0.018595318917132245,-0.003670178424346791,+1346 char+s
Drama,8.782268139959664,-0.010524084140878628,0.003656416498754038,0.014754624530915004,-0.005434630612475309,Drama
drama thailand,10.364777091180361,-0.007944646911391892,0.0030565185215930633,0.013040369955589902,-0.00616463936137117,drama thailand
erschütter+t haupt+stadt,8.23171822515966,-0.011586222923146178,0.0039020950077191347,0.015452243182608369,-0.005128126122501268,erschütter+t haupt+stadt
Dramatische,24.64261485798956,0.0029586090745290575,0.0004748039082266828,0.005518944844117401,-0.009070001039572704,Dramatische
haupt+stadt dramatisch+e,7.394723759424952,-0.013418584970947427,0.004324034303677977,0.016643997096091188,-0.004590766711904841,haupt+stadt dramatisch+e
dramatisch+e bild+er,6.793941474890346,-0.014935875414049692,0.004671568766309636,0.01761929466276421,-0.00413725175525727,dramatisch+e bild+er
bild+er bangkok,7.1684587612281305,-0.01396765400590551,0.004449993912153075,0.016998153335502544,-0.0044275624226704285,bild+er bangkok
bangkok erschütter+n,7.656079592142712,-0.012814679168725487,0.0041852406053418285,0.016252887357104492,-0.004769095670249551,bangkok erschütter+n
erschütter+n welt,9.357695094217858,-0.009513196432956629,0.0034218585785541563,0.014086139666461219,-0.0057230852485076,erschütter+n welt
erdbeben stürz+en,10.915249279114429,-0.007177135450129103,0.00287715155419846,0.012524990694392477,-0.006378142066794752,erdbeben stürz+en
stürz+en gebäude,9.199168819343772,-0.009782478000835053,0.00348440965522115,0.014264637575215901,-0.005646550699069898,stürz+en gebäude
Arbeiter,56.309221390575686,-0.021634710857047643,-0.01399879640449212,-0.031386486726840045,0.06498416359709243,Arbeiter
arbeiter verschütt+et,32.26401580386784,-0.09896278459653016,-0.10253795329068827,-0.09929073119575635,0.2568611968519482,arbeiter verschütt+et
verschütt+et not+stand,14.535461308206473,-0.034842285410560454,-0.02916827892082471,-0.021097854383297678,0.08368521000633174,verschütt+et not+stand
bangkok aus+ge+ruf+en,18.15520117190339,-0.01706791557342459,-0.01507569947597869,-0.008358042207985293,0.04117109294875395,bangkok aus+ge+ruf+en
aus+ge+ruf+en arbeiter,17.315048666765474,-0.027004034921487466,-0.024164069501612116,-0.017132912282498993,0.06775156246731194,aus+ge+ruf+en arbeiter
Not…,7.434584102243263,-0.080419376793083,-0.061352123106451315,-0.04858538668757239,0.1755914817971968,Not…
verschütt+et not…,4.718823081303597,-0.08607467531165815,-0.05572256405765464,-0.039325377151864266,0.169261953056326,verschütt+et not…
+368,7.553460448812983,-0.041997684038356214,-0.024099274696912053,-0.011726550444319337,0.07856959832571753,+368
not… +368,4.6377955918523455,-0.07541912115859772,-0.04488248383697204,-0.028428601684313895,0.14246430920300615,not… +368
+368 chars,4.584727612756314,-0.06931267490911115,-0.038625961353913246,-0.02212603213846238,0.1265588263086943,+368 chars
rief,7.82491736618725,-0.013144544953265874,0.006240361003986121,0.01532528949828773,-0.005567666121250161,rief
thailand ruf,5.419475779696875,-0.02042054609348942,0.008987209126810058,0.01931559599035452,-0.003849639868250852,thailand ruf
ruf not+stand,7.878415448168132,-0.013215430480179563,0.006781453139946415,0.015067903858160439,-0.0057846104374219545,ruf not+stand
stürz+te hochhaus,12.039715208878734,-0.006876786992008751,0.005929555464498578,0.01049161638373523,-0.007853755159303399,stürz+te hochhaus
+2171,7.881193616144325,-0.012318510530457549,0.004071009874430738,0.01593032124383275,-0.004914701897865209,+2171
"7,3 +2171",7.881193616144325,-0.012318510530457549,0.004071009874430738,0.01593032124383275,-0.004914701897865209,"7,3 +2171"
+2171 chars,7.4564311753557515,-0.013273167518080522,0.004290637759338315,0.016549970924289756,-0.004633819307515383,+2171 chars
